,service_name,name,on,address_1,address_2,lat,lng
3027,부속의료기관,코코네엠부속의원,영업중,서울특별시 강남구 논현동 44-7,서울특별시 강남구 학동로9길 19(논현동),37.5133885,127.0238062
3028,약국,압구정예주약국,영업중,서울특별시 강남구 압구정동 442번지 지하1층,"서울특별시 강남구 압구정로29길 65, 442빌딩 지하1층 (압구정동)",37.5317386,127.0270157
3029,약국,신논현비비약국,영업중,서울특별시 강남구 논현동 200번지 7호 지하2층,"서울특별시 강남구 강남대로 476, urbanhive 지하2층 (논현동)",37.5048971,127.0247797
3030,약국,정원약국,영업중,"서울특별시 강남구 청담동 132번지 풍양빌딩,1층 103호","서울특별시 강남구 영동대로 722, 풍양빌딩 1층 103호 (청담동)",37.5223537,127.0563922
3031,약국,청담별빛약국,영업중,"서울특별시 강남구 청담동 47번지 5호 정한빌딩, 1층 103호","서울특별시 강남구 학동로 443, 정한빌딩 1층 103호 (청담동)",37.51896480000001,127.0493706
3032,약국,레이첼약국,영업중,"서울특별시 강남구 역삼동 808번지 808타워, 5층 502호","서울특별시 강남구 강남대로 470, 808타워 5층 502호 (역삼동)",37.5043512,127.0250471
3033,약국,타임약국,영업중,서울특별시 강남구 역삼동 708번지 26호 1층,"서울특별시 강남구 선릉로 431, 에스케이허브오피스텔 1층 (역삼동)",37.5035485,127.0490615
3034,약국,연세팜약국,영업중,서울특별시 강남구 논현동 144번지 20호 101호,"서울특별시 강남구 학동로4길 24, 101호 (논현동)",37.509907,127.0233354
3035,약국,수온누리약국,영업중,"서울특별시 강남구 역삼동 719번지 신웅타워, 1층","서울특별시 강남구 테헤란로 216, 신웅타워 1층 (역삼동)",37.5014075,127.0401244
3036,약국,다정약국,영업중,서울특별시 강남구 신사동 581,"서울특별시 강남구 논현로175길 7, 1층 101호 (신사동)",37.5261448,127.0279851
3037,약국,굿케어약국,영업중,서울특별시 강남구 논현동 111-20,"서울특별시 강남구 선릉로 719, 103호 (논현동)",37.5196301,127.0381309
3038,약국,한티미소약국,영업중,서울특별시 강남구 대치동 922-24,"서울특별시 강남구 선릉로 314, 2층 201-2호 (대치동)",37.4978251,127.052405
3039,약국,라이프약국,영업중,서울특별시 강남구 청담동 5번지 29호,"서울특별시 강남구 삼성로149길 32, 102호 (청담동)",37.5288896,127.0466479
3040,약국,누리약국,영업중,서울특별시 강남구 역삼동 707번지 1호 3층,"서울특별시 강남구 테헤란로 310, 3층 (역삼동)",37.5028251,127.0447848
3041,약국,논현수약국,영업중,서울특별시 강남구 논현동 111번지 31호 1층 일부,"서울특별시 강남구 선릉로 705, 1층 (논현동)",37.5179556,127.040759
3042,약국,별하약국,영업중,서울특별시 강남구 논현동 202번지 19호 이건빌딩,"서울특별시 강남구 봉은사로 117, 이건빌딩 1층 (논현동)",37.5052783,127.0264493
3043,약국,수서홍약국,영업중,서울특별시 강남구 수서동 716번지 사이룩스오피스텔 서관동 1층 101호,"서울특별시 강남구 광평로 295, 사이룩스오피스텔 서관동 1층 101호 (수서동)",37.488456,127.10419
3044,약국,르씨엘약국,영업중,서울특별시 강남구 논현동 88-7,"서울특별시 강남구 학동로 215, 101호,107호 (논현동)",37.5148754,127.032599
3045,약국,리본약국,영업중,서울특별시 강남구 논현동 5번지 7호 1층 일부호,"서울특별시 강남구 도산대로16길 6, 1층 일부호 (논현동)",37.5175047,127.0244313
3046,약국,약손메디칼약국,영업중,서울특별시 강남구 도곡동 538번지 1호,"서울특별시 강남구 선릉로 227, 1층 (도곡동)",37.4958321,127.0527291
3047,약국,강남세계로약국,영업중,"서울특별시 강남구 개포동 1228번지 6호 남현빌딩, 1층","서울특별시 강남구 논현로 52, 남현빌딩 1층 (개포동)",37.475192,127.0476068
3048,약국,개나리봄약국,영업중,서울특별시 강남구 역삼동 755번지 2층 26호,"서울특별시 강남구 역삼로 310, 한솔필리아 2층 26호 (역삼동)",37.4991554,127.0483257
3049,약국,선릉코코약국,영업중,서울특별시 강남구 역삼동 705번지 18호 지하1층,"서울특별시 강남구 테헤란로 333, 지하1층 (역삼동)",37.5047062,127.0480081
3050,약국,올리브약국,영업중,"서울특별시 강남구 논현동 241번지 7호 상경빌딩, 지하1층","서울특별시 강남구 선릉로 669, 상경빌딩 지하1층 (논현동)",37.5165849,127.0412433
3051,약국,강남미약국,영업중,서울특별시 강남구 역삼동 825번지 8호 1층 1호,"서울특별시 강남구 강남대로 376, 1층 1호 (역삼동)",37.4965166,127.0287049
3052,약국,일번지약국,영업중,서울특별시 강남구 역삼동 824번지 11호 1층 106호,"서울특별시 강남구 강남대로84길 23, 1층 106호 (역삼동)",37.4971347,127.0303771
3053,약국,늘봄약국,영업중,서울특별시 강남구 신사동 566번지 14호,"서울특별시 강남구 논현로159길 17, 101호 (신사동)",37.5229366,127.0266378
3054,약국,베어약국,영업중,서울특별시 강남구 삼성동 163번지 3호 지하1층,"서울특별시 강남구 봉은사로114길 12, 지하 1층 (삼성동)",37.5144857,127.0654791
3055,약국,365강남역약국,영업중,서울특별시 강남구 역삼동 858 강남역 222-103~104호,"서울특별시 강남구 강남대로 지하396, 강남역 103-104호 (역삼동)",37.4945723,127.0310219
3056,약국,으뜸약국,영업중,서울특별시 강남구 역삼동 648-26 원빌딩 2층 202호,"서울특별시 강남구 테헤란로 121, 원빌딩 2층 202호 (역삼동)",37.4994303,127.0310558
3057,약국,라라약국,영업중,서울특별시 강남구 역삼동 648번지 22호 지하1층,"서울특별시 강남구 테헤란로 125, 지하1층 (역삼동)",37.499615,127.0316758
3058,약국,강남정성약국,영업중,서울특별시 강남구 논현동 211번지 15호 1층,"서울특별시 강남구 언주로 639, 1층 (논현동)",37.5136178,127.0349761
3059,약국,맑은하늘약국,영업중,"서울특별시 강남구 개포동 655번지 4호 개포동 메디시스빌딩, 1층 101호","서울특별시 강남구 개포로 265, 개포동 메디시스빌딩 1층 101호 (개포동)",37.48094690000001,127.0529676
3060,약국,건강한온누리약국,영업중,서울특별시 강남구 신사동 620 압구정스퀘어,"서울특별시 강남구 압구정로34길 11, 압구정스퀘어 105호 (신사동)",37.5273895,127.030957
3061,약국,엠플러스약국,영업중,서울특별시 강남구 역삼동 825번지 9호 준빌딩 지하1층,"서울특별시 강남구 강남대로 378, 준빌딩 지하1층 (역삼동)",37.4966547,127.0286389
3062,약국,약사랑약국,영업중,서울특별시 강남구 역삼동 705번지 30호 1층,"서울특별시 강남구 테헤란로 339, 1층 (역삼동)",37.5048031,127.0486123
3063,약국,웰그린약국,영업중,서울특별시 강남구 역삼동 765번지 7호 1층 103호,"서울특별시 강남구 선릉로 311, 1층 103호 (역삼동)",37.4973288,127.0520728
3064,약국,압구정퀸약국,영업중,서울특별시 강남구 신사동 582번지 9호,"서울특별시 강남구 논현로 853, 1층 (신사동)",37.5250919,127.0280857
3065,약국,강남온누리약국,영업중,서울특별시 강남구 대치동 907번지 102호,"서울특별시 강남구 선릉로 406, 102호 (대치동)",37.5011727,127.0508237
3066,약국,메타팜약국,영업중,서울특별시 강남구 대치동 606번지 1호 101호,"서울특별시 강남구 남부순환로 2941, 101호 (대치동)",37.49422680000001,127.0617852
3067,약국,역삼생생약국,영업중,서울특별시 강남구 역삼동 738번지 1호 1층 3호,"서울특별시 강남구 역삼로17길 64, 1층 3호 (역삼동)",37.4988924,127.0366102
3068,약국,강남새천년온누리약국,영업중,서울특별시 강남구 대치동 986번지 9호 1층,"서울특별시 강남구 도곡로 523, 1층 (대치동)",37.5001569,127.063734
3069,약국,센느약국,영업중,서울특별시 강남구 논현동 164번지 2호 101호,"서울특별시 강남구 강남대로 516, 101호 (논현동)",37.5213236,127.0389295
3070,약국,팜팜약국,영업중,서울특별시 강남구 신사동 574번지 선덕빌딩 1층 104호,"서울특별시 강남구 압구정로 144, 선덕빌딩 1층 104호 (신사동)",37.5249575,127.0246028
3071,약국,강남역스타약국,영업중,서울특별시 강남구 역삼동 825번지 20호 지하1층  b106호,"서울특별시 강남구 테헤란로4길 6, 지하1층 b106호 (역삼동)",37.4977256,127.0292972
3072,약국,압구정길약국,영업중,서울특별시 강남구 신사동 548번지 2호 종화빌딩 1층,"서울특별시 강남구 압구정로 130, 종화빌딩 1층 (신사동)",37.5240736,127.0228897
3073,약국,타워약국,영업중,서울특별시 강남구 신사동 501번지 2호 1층,"서울특별시 강남구 도산대로 107, 1층 (신사동)",37.5167698,127.0200738
3074,약국,경아의희망담은한약국,영업중,서울특별시 강남구 역삼동 732번지 3호 2층,"서울특별시 강남구 언주로75길 29, 2층 (역삼동)",37.4980559,127.0421852
